refseqID,description
NC_005784.3,Eremothecium gossypii ATCC 10895 chromosome III
NC_050724.1,Zygotorulaspora mrakii chromosome 6
NC_052375.1,Brettanomyces nanus chromosome 2
NC_037323.1,Botrytis cinerea B05.10 chromosome 14
NC_050730.1,Torulaspora globosa chromosome 4
NC_054857.1,Aspergillus puulaauensis MK2 DNA
NC_012864.1,Candida dubliniensis CD36 chromosome 5
NC_049563.1,Talaromyces rugulosus chromosome III
NC_037316.1,Botrytis cinerea B05.10 chromosome 7
NC_037316.1,Botrytis cinerea B05.10 chromosome 7
NC_012860.1,Candida dubliniensis CD36 chromosome 1
NC_054854.1,Aspergillus luchuensis IFO 4308 DNA
NC_042506.1,Pichia kudriavzevii chromosome 1
NC_054687.1,Brettanomyces bruxellensis chromosome 6
NC_031672.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome A
NC_031674.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome B
NC_054856.1,Aspergillus luchuensis IFO 4308 DNA
NC_031674.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome B
NC_050731.1,Torulaspora globosa chromosome 5
NC_036026.1,Kluyveromyces marxianus DMKU3-1042 DNA
NC_050724.1,Zygotorulaspora mrakii chromosome 6
NC_054688.1,Brettanomyces bruxellensis chromosome 7
NC_001136.10,Saccharomyces cerevisiae S288C chromosome IV
NC_054690.1,Brettanomyces bruxellensis chromosome 9
NC_042506.1,Pichia kudriavzevii chromosome 1
NC_012861.1,Candida dubliniensis CD36 chromosome 2
NC_037318.1,Botrytis cinerea B05.10 chromosome 9
NC_054856.1,Aspergillus luchuensis IFO 4308 DNA
NC_037311.1,Botrytis cinerea B05.10 chromosome 2
NC_001135.5,Saccharomyces cerevisiae S288C chromosome III
NC_040195.1,Malassezia restricta chromosome III
NC_050724.1,Zygotorulaspora mrakii chromosome 6
NC_040194.1,Malassezia restricta chromosome II
NC_052377.1,Brettanomyces nanus chromosome 4
NC_005782.2,Eremothecium gossypii ATCC 10895 chromosome I
NC_050723.1,Zygotorulaspora mrakii chromosome 5
NC_054856.1,Aspergillus luchuensis IFO 4308 DNA
NC_006042.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome F complete sequence
NC_016477.1,Thermothelomyces thermophilus ATCC 42464 chromosome 6
NC_049566.1,Talaromyces rugulosus chromosome VI
NC_050722.1,Zygotorulaspora mrakii chromosome 4
NC_054851.1,Aspergillus luchuensis IFO 4308 DNA
NC_040200.1,Malassezia restricta chromosome VIII
NC_016477.1,Thermothelomyces thermophilus ATCC 42464 chromosome 6
NC_012861.1,Candida dubliniensis CD36 chromosome 2
NC_016476.1,Thermothelomyces thermophilus ATCC 42464 chromosome 5
NC_040197.1,Malassezia restricta chromosome V
NC_050725.1,Zygotorulaspora mrakii chromosome 7
NC_037310.1,Botrytis cinerea B05.10 chromosome 1
NC_006042.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome F complete sequence
NC_050721.1,Zygotorulaspora mrakii chromosome 3
NC_042507.1,Pichia kudriavzevii chromosome 2
NC_054862.1,Aspergillus puulaauensis MK2 DNA
NC_054689.1,Brettanomyces bruxellensis chromosome 8
NC_031674.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome B
NC_016473.1,Thermothelomyces thermophilus ATCC 42464 chromosome 2
NC_036026.1,Kluyveromyces marxianus DMKU3-1042 DNA
NC_054863.1,Aspergillus puulaauensis MK2 DNA
NC_050720.1,Zygotorulaspora mrakii chromosome 2
NC_052374.1,Brettanomyces nanus chromosome 1
NC_006037.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome A complete sequence
NC_054855.1,Aspergillus luchuensis IFO 4308 DNA
NC_036030.1,Kluyveromyces marxianus DMKU3-1042 DNA
NC_050727.1,Torulaspora globosa chromosome 1
NC_042507.1,Pichia kudriavzevii chromosome 2
NC_016460.1,Thermothielavioides terrestris NRRL 8126 chromosome 4
NC_042507.1,Pichia kudriavzevii chromosome 2
NC_040198.1,Malassezia restricta chromosome VI
NC_050719.1,Zygotorulaspora mrakii chromosome 1
NC_054850.1,Aspergillus luchuensis IFO 4308 DNA
NC_054690.1,Brettanomyces bruxellensis chromosome 9
NC_031674.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome B
NC_049564.1,Talaromyces rugulosus chromosome IV
NC_037310.1,Botrytis cinerea B05.10 chromosome 1
NC_054861.1,Aspergillus puulaauensis MK2 DNA
NC_016476.1,Thermothelomyces thermophilus ATCC 42464 chromosome 5
NC_054859.1,Aspergillus puulaauensis MK2 DNA
NC_050719.1,Zygotorulaspora mrakii chromosome 1
NC_042509.1,Pichia kudriavzevii chromosome 4
NC_031671.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome C
NC_052377.1,Brettanomyces nanus chromosome 4
NC_050727.1,Torulaspora globosa chromosome 1
NC_040194.1,Malassezia restricta chromosome II
NC_037313.1,Botrytis cinerea B05.10 chromosome 4
NC_006039.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome C complete sequence
NC_031672.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome A
NC_036028.1,Kluyveromyces marxianus DMKU3-1042 DNA
NC_006042.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome F complete sequence
NC_005788.4,Eremothecium gossypii ATCC 10895 chromosome VII
NC_006039.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome C complete sequence
NC_037326.1,Botrytis cinerea B05.10 chromosome 17
NC_042509.1,Pichia kudriavzevii chromosome 4
NC_037311.1,Botrytis cinerea B05.10 chromosome 2
NC_049561.1,Talaromyces rugulosus chromosome I
NC_006041.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome E complete sequence
NC_031671.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome C
NC_036029.1,Kluyveromyces marxianus DMKU3-1042 DNA
NC_040197.1,Malassezia restricta chromosome V
NC_054853.1,Aspergillus luchuensis IFO 4308 DNA
NC_052375.1,Brettanomyces nanus chromosome 2
NC_052374.1,Brettanomyces nanus chromosome 1
NC_012863.1,Candida dubliniensis CD36 chromosome 4
NC_006041.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome E complete sequence
NC_042508.1,Pichia kudriavzevii chromosome 3
NC_037311.1,Botrytis cinerea B05.10 chromosome 2
NC_054857.1,Aspergillus puulaauensis MK2 DNA
NC_037310.1,Botrytis cinerea B05.10 chromosome 1
NC_036027.1,Kluyveromyces marxianus DMKU3-1042 DNA
NC_016457.1,Thermothielavioides terrestris NRRL 8126 chromosome 1
NC_049562.1,Talaromyces rugulosus chromosome II
NC_037324.1,Botrytis cinerea B05.10 chromosome 15
NC_054853.1,Aspergillus luchuensis IFO 4308 DNA
NC_050723.1,Zygotorulaspora mrakii chromosome 5
NC_006042.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome F complete sequence
NC_049565.1,Talaromyces rugulosus chromosome V
NC_054860.1,Aspergillus puulaauensis MK2 DNA
NC_012860.1,Candida dubliniensis CD36 chromosome 1
NC_040195.1,Malassezia restricta chromosome III
NC_001137.3,Saccharomyces cerevisiae S288C chromosome V
NC_052377.1,Brettanomyces nanus chromosome 4
NC_050725.1,Zygotorulaspora mrakii chromosome 7
NC_016478.1,Thermothelomyces thermophilus ATCC 42464 chromosome 7
NC_054857.1,Aspergillus puulaauensis MK2 DNA
NC_031673.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome D
NC_050719.1,Zygotorulaspora mrakii chromosome 1
NC_036031.1,Kluyveromyces marxianus DMKU3-1042 DNA
NC_042510.1,Pichia kudriavzevii chromosome 5
NC_001148.4,Saccharomyces cerevisiae S288C chromosome XVI
NC_031672.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome A
NC_005788.4,Eremothecium gossypii ATCC 10895 chromosome VII
NC_054690.1,Brettanomyces bruxellensis chromosome 9
NC_054690.1,Brettanomyces bruxellensis chromosome 9
NC_049561.1,Talaromyces rugulosus chromosome I
NC_016461.1,Thermothielavioides terrestris NRRL 8126 chromosome 5
NC_005786.2,Eremothecium gossypii ATCC 10895 chromosome V
NC_052377.1,Brettanomyces nanus chromosome 4
NC_006041.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome E complete sequence
NC_001134.8,Saccharomyces cerevisiae S288C chromosome II
NC_016475.1,Thermothelomyces thermophilus ATCC 42464 chromosome 4
NC_050722.1,Zygotorulaspora mrakii chromosome 4
NC_049565.1,Talaromyces rugulosus chromosome V
NC_054688.1,Brettanomyces bruxellensis chromosome 7
NC_016474.1,Thermothelomyces thermophilus ATCC 42464 chromosome 3
NC_052377.1,Brettanomyces nanus chromosome 4
NC_042509.1,Pichia kudriavzevii chromosome 4
NC_037324.1,Botrytis cinerea B05.10 chromosome 15
NC_016459.1,Thermothielavioides terrestris NRRL 8126 chromosome 3
NC_054859.1,Aspergillus puulaauensis MK2 DNA
NC_052374.1,Brettanomyces nanus chromosome 1
NC_016472.1,Thermothelomyces thermophilus ATCC 42464 chromosome 1
NC_037318.1,Botrytis cinerea B05.10 chromosome 9
NC_054684.1,Brettanomyces bruxellensis chromosome 3
NC_006042.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome F complete sequence
NC_052374.1,Brettanomyces nanus chromosome 1
NC_012862.1,Candida dubliniensis CD36 chromosome 3
NC_031671.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome C
NC_001142.9,Saccharomyces cerevisiae S288C chromosome X
NC_049565.1,Talaromyces rugulosus chromosome V
NC_054690.1,Brettanomyces bruxellensis chromosome 9
NC_050728.1,Torulaspora globosa chromosome 2
NC_050727.1,Torulaspora globosa chromosome 1
NC_054690.1,Brettanomyces bruxellensis chromosome 9
NC_012863.1,Candida dubliniensis CD36 chromosome 4
NC_016457.1,Thermothielavioides terrestris NRRL 8126 chromosome 1
NC_016473.1,Thermothelomyces thermophilus ATCC 42464 chromosome 2
NC_050731.1,Torulaspora globosa chromosome 5
NC_016457.1,Thermothielavioides terrestris NRRL 8126 chromosome 1
NC_001144.5,Saccharomyces cerevisiae S288C chromosome XII
NC_006038.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome B complete sequence
NC_054855.1,Aspergillus luchuensis IFO 4308 DNA
NC_016477.1,Thermothelomyces thermophilus ATCC 42464 chromosome 6
NC_012864.1,Candida dubliniensis CD36 chromosome 5
NC_052374.1,Brettanomyces nanus chromosome 1
NC_012866.1,Candida dubliniensis CD36 chromosome 7
NC_042510.1,Pichia kudriavzevii chromosome 5
NC_042509.1,Pichia kudriavzevii chromosome 4
NC_037321.1,Botrytis cinerea B05.10 chromosome 12
NC_037317.1,Botrytis cinerea B05.10 chromosome 8
NC_052375.1,Brettanomyces nanus chromosome 2
NC_037324.1,Botrytis cinerea B05.10 chromosome 15
NC_042510.1,Pichia kudriavzevii chromosome 5
NC_006041.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome E complete sequence
NC_031671.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome C
NC_037327.1,Botrytis cinerea B05.10 chromosome 18
NC_005786.2,Eremothecium gossypii ATCC 10895 chromosome V
NC_042507.1,Pichia kudriavzevii chromosome 2
NC_050733.1,Torulaspora globosa chromosome 7
NC_012860.1,Candida dubliniensis CD36 chromosome 1
NC_016458.1,Thermothielavioides terrestris NRRL 8126 chromosome 2
NC_001136.10,Saccharomyces cerevisiae S288C chromosome IV
NC_052374.1,Brettanomyces nanus chromosome 1
NC_052377.1,Brettanomyces nanus chromosome 4
NC_054690.1,Brettanomyces bruxellensis chromosome 9
NC_050728.1,Torulaspora globosa chromosome 2
NC_040195.1,Malassezia restricta chromosome III
NC_042506.1,Pichia kudriavzevii chromosome 1
NC_005784.3,Eremothecium gossypii ATCC 10895 chromosome III
NC_005784.3,Eremothecium gossypii ATCC 10895 chromosome III
NC_052374.1,Brettanomyces nanus chromosome 1
NC_012863.1,Candida dubliniensis CD36 chromosome 4
NC_037318.1,Botrytis cinerea B05.10 chromosome 9
NC_040198.1,Malassezia restricta chromosome VI
NC_037313.1,Botrytis cinerea B05.10 chromosome 4
NC_031671.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome C
NC_031674.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome B
NC_054852.1,Aspergillus luchuensis IFO 4308 DNA
NC_054689.1,Brettanomyces bruxellensis chromosome 8
NC_049562.1,Talaromyces rugulosus chromosome II
NC_001144.5,Saccharomyces cerevisiae S288C chromosome XII
NC_042509.1,Pichia kudriavzevii chromosome 4
NC_054849.1,Aspergillus luchuensis IFO 4308 DNA
NC_050733.1,Torulaspora globosa chromosome 7
NC_031672.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome A
NC_054687.1,Brettanomyces bruxellensis chromosome 6
NC_050722.1,Zygotorulaspora mrakii chromosome 4
NC_052377.1,Brettanomyces nanus chromosome 4
NC_037325.1,Botrytis cinerea B05.10 chromosome 16
NC_054854.1,Aspergillus luchuensis IFO 4308 DNA
NC_005785.6,Eremothecium gossypii ATCC 10895 chromosome IV
NC_052374.1,Brettanomyces nanus chromosome 1
NC_040195.1,Malassezia restricta chromosome III
NC_001144.5,Saccharomyces cerevisiae S288C chromosome XII
NC_050731.1,Torulaspora globosa chromosome 5
NC_005786.2,Eremothecium gossypii ATCC 10895 chromosome V
NC_036025.1,Kluyveromyces marxianus DMKU3-1042 DNA
NC_050723.1,Zygotorulaspora mrakii chromosome 5
NC_006041.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome E complete sequence
NC_031671.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome C
NC_040193.1,Malassezia restricta chromosome I
NC_031672.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome A
NC_054854.1,Aspergillus luchuensis IFO 4308 DNA
NC_031674.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome B
NC_031672.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome A
NC_052374.1,Brettanomyces nanus chromosome 1
NC_049561.1,Talaromyces rugulosus chromosome I
NC_052376.1,Brettanomyces nanus chromosome 3
NC_012861.1,Candida dubliniensis CD36 chromosome 2
NC_031672.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome A
NC_016473.1,Thermothelomyces thermophilus ATCC 42464 chromosome 2
NC_036030.1,Kluyveromyces marxianus DMKU3-1042 DNA
NC_042509.1,Pichia kudriavzevii chromosome 4
NC_049566.1,Talaromyces rugulosus chromosome VI
NC_037324.1,Botrytis cinerea B05.10 chromosome 15
NC_016475.1,Thermothelomyces thermophilus ATCC 42464 chromosome 4
NC_016473.1,Thermothelomyces thermophilus ATCC 42464 chromosome 2
NC_050727.1,Torulaspora globosa chromosome 1
NC_049562.1,Talaromyces rugulosus chromosome II
NC_016472.1,Thermothelomyces thermophilus ATCC 42464 chromosome 1
NC_054863.1,Aspergillus puulaauensis MK2 DNA
NC_037314.1,Botrytis cinerea B05.10 chromosome 5
NC_036029.1,Kluyveromyces marxianus DMKU3-1042 DNA
NC_052377.1,Brettanomyces nanus chromosome 4
NC_031674.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome B
NC_049561.1,Talaromyces rugulosus chromosome I
NC_050722.1,Zygotorulaspora mrakii chromosome 4
NC_031673.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome D
NC_050720.1,Zygotorulaspora mrakii chromosome 2
NC_016458.1,Thermothielavioides terrestris NRRL 8126 chromosome 2
NC_001142.9,Saccharomyces cerevisiae S288C chromosome X
NC_001145.3,Saccharomyces cerevisiae S288C chromosome XIII
NC_012860.1,Candida dubliniensis CD36 chromosome 1
NC_050719.1,Zygotorulaspora mrakii chromosome 1
NC_054861.1,Aspergillus puulaauensis MK2 DNA
NC_016458.1,Thermothielavioides terrestris NRRL 8126 chromosome 2
NC_042506.1,Pichia kudriavzevii chromosome 1
NC_012867.1,Candida dubliniensis CD36 chromosome R
NC_031674.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome B
NC_054850.1,Aspergillus luchuensis IFO 4308 DNA
NC_054689.1,Brettanomyces bruxellensis chromosome 8
NC_049561.1,Talaromyces rugulosus chromosome I
NC_050726.1,Zygotorulaspora mrakii chromosome 8
NC_054864.1,Aspergillus puulaauensis MK2 DNA
NC_016462.1,Thermothielavioides terrestris NRRL 8126 chromosome 6
NC_005787.5,Eremothecium gossypii ATCC 10895 chromosome VI
NC_054854.1,Aspergillus luchuensis IFO 4308 DNA
NC_006042.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome F complete sequence
NC_040193.1,Malassezia restricta chromosome I
NC_052374.1,Brettanomyces nanus chromosome 1
NC_005785.6,Eremothecium gossypii ATCC 10895 chromosome IV
NC_042508.1,Pichia kudriavzevii chromosome 3
NC_052374.1,Brettanomyces nanus chromosome 1
NC_001141.2,Saccharomyces cerevisiae S288C chromosome IX
NC_052376.1,Brettanomyces nanus chromosome 3
NC_001224.1,Saccharomyces cerevisiae S288c mitochondrion
NC_050724.1,Zygotorulaspora mrakii chromosome 6
NC_016472.1,Thermothelomyces thermophilus ATCC 42464 chromosome 1
NC_050731.1,Torulaspora globosa chromosome 5
NC_037311.1,Botrytis cinerea B05.10 chromosome 2
NC_042508.1,Pichia kudriavzevii chromosome 3
NC_031674.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome B
NC_050723.1,Zygotorulaspora mrakii chromosome 5
NC_016472.1,Thermothelomyces thermophilus ATCC 42464 chromosome 1
NC_054859.1,Aspergillus puulaauensis MK2 DNA
NC_052374.1,Brettanomyces nanus chromosome 1
NC_049561.1,Talaromyces rugulosus chromosome I
NC_054850.1,Aspergillus luchuensis IFO 4308 DNA
NC_012861.1,Candida dubliniensis CD36 chromosome 2
NC_050720.1,Zygotorulaspora mrakii chromosome 2
NC_036026.1,Kluyveromyces marxianus DMKU3-1042 DNA
NC_049561.1,Talaromyces rugulosus chromosome I
NC_006038.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome B complete sequence
NC_052377.1,Brettanomyces nanus chromosome 4
NC_037326.1,Botrytis cinerea B05.10 chromosome 17
NC_054863.1,Aspergillus puulaauensis MK2 DNA
NC_050732.1,Torulaspora globosa chromosome 6
NC_036029.1,Kluyveromyces marxianus DMKU3-1042 DNA
NC_054690.1,Brettanomyces bruxellensis chromosome 9
NC_012867.1,Candida dubliniensis CD36 chromosome R
NC_042508.1,Pichia kudriavzevii chromosome 3
NC_054857.1,Aspergillus puulaauensis MK2 DNA
NC_012867.1,Candida dubliniensis CD36 chromosome R
NC_005786.2,Eremothecium gossypii ATCC 10895 chromosome V
NC_031673.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome D
NC_049566.1,Talaromyces rugulosus chromosome VI
NC_012861.1,Candida dubliniensis CD36 chromosome 2
NC_050731.1,Torulaspora globosa chromosome 5
NC_016475.1,Thermothelomyces thermophilus ATCC 42464 chromosome 4
NC_006041.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome E complete sequence
NC_054688.1,Brettanomyces bruxellensis chromosome 7
NC_001134.8,Saccharomyces cerevisiae S288C chromosome II
NC_016459.1,Thermothielavioides terrestris NRRL 8126 chromosome 3
NC_006042.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome F complete sequence
NC_050728.1,Torulaspora globosa chromosome 2
NC_054850.1,Aspergillus luchuensis IFO 4308 DNA
NC_040193.1,Malassezia restricta chromosome I
NC_049565.1,Talaromyces rugulosus chromosome V
NC_016475.1,Thermothelomyces thermophilus ATCC 42464 chromosome 4
NC_040196.1,Malassezia restricta chromosome IV
NC_016459.1,Thermothielavioides terrestris NRRL 8126 chromosome 3
NC_049561.1,Talaromyces rugulosus chromosome I
NC_040199.1,Malassezia restricta chromosome VII
NC_001137.3,Saccharomyces cerevisiae S288C chromosome V
NC_036027.1,Kluyveromyces marxianus DMKU3-1042 DNA
NC_054861.1,Aspergillus puulaauensis MK2 DNA
NC_050730.1,Torulaspora globosa chromosome 4
NC_036026.1,Kluyveromyces marxianus DMKU3-1042 DNA
NC_052375.1,Brettanomyces nanus chromosome 2
NC_005788.4,Eremothecium gossypii ATCC 10895 chromosome VII
NC_037317.1,Botrytis cinerea B05.10 chromosome 8
NC_012860.1,Candida dubliniensis CD36 chromosome 1
NC_016478.1,Thermothelomyces thermophilus ATCC 42464 chromosome 7
NC_042506.1,Pichia kudriavzevii chromosome 1
NC_042510.1,Pichia kudriavzevii chromosome 5
NC_054863.1,Aspergillus puulaauensis MK2 DNA
NC_016458.1,Thermothielavioides terrestris NRRL 8126 chromosome 2
NC_054851.1,Aspergillus luchuensis IFO 4308 DNA
NC_006040.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome D complete sequence
NC_031672.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome A
NC_001148.4,Saccharomyces cerevisiae S288C chromosome XVI
NC_049566.1,Talaromyces rugulosus chromosome VI
NC_040196.1,Malassezia restricta chromosome IV
NC_036027.1,Kluyveromyces marxianus DMKU3-1042 DNA
NC_040200.1,Malassezia restricta chromosome VIII
NC_016459.1,Thermothielavioides terrestris NRRL 8126 chromosome 3
NC_036026.1,Kluyveromyces marxianus DMKU3-1042 DNA
NC_037313.1,Botrytis cinerea B05.10 chromosome 4
NC_042508.1,Pichia kudriavzevii chromosome 3
NC_031674.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome B
NC_036028.1,Kluyveromyces marxianus DMKU3-1042 DNA
NC_016477.1,Thermothelomyces thermophilus ATCC 42464 chromosome 6
NC_049565.1,Talaromyces rugulosus chromosome V
NC_037320.1,Botrytis cinerea B05.10 chromosome 11
NC_049563.1,Talaromyces rugulosus chromosome III
NC_042508.1,Pichia kudriavzevii chromosome 3
NC_050722.1,Zygotorulaspora mrakii chromosome 4
NC_037311.1,Botrytis cinerea B05.10 chromosome 2
NC_054862.1,Aspergillus puulaauensis MK2 DNA
NC_001144.5,Saccharomyces cerevisiae S288C chromosome XII
NC_042506.1,Pichia kudriavzevii chromosome 1
NC_052377.1,Brettanomyces nanus chromosome 4
NC_016459.1,Thermothielavioides terrestris NRRL 8126 chromosome 3
NC_016475.1,Thermothelomyces thermophilus ATCC 42464 chromosome 4
NC_016478.1,Thermothelomyces thermophilus ATCC 42464 chromosome 7
NC_012862.1,Candida dubliniensis CD36 chromosome 3
NC_006042.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome F complete sequence
NC_049566.1,Talaromyces rugulosus chromosome VI
NC_037312.1,Botrytis cinerea B05.10 chromosome 3
NC_049563.1,Talaromyces rugulosus chromosome III
NC_006037.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome A complete sequence
NC_054686.1,Brettanomyces bruxellensis chromosome 5
NC_031671.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome C
NC_006042.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome F complete sequence
NC_049565.1,Talaromyces rugulosus chromosome V
NC_001147.6,Saccharomyces cerevisiae S288C chromosome XV
NC_040197.1,Malassezia restricta chromosome V
NC_042507.1,Pichia kudriavzevii chromosome 2
NC_036031.1,Kluyveromyces marxianus DMKU3-1042 DNA
NC_016473.1,Thermothelomyces thermophilus ATCC 42464 chromosome 2
NC_054852.1,Aspergillus luchuensis IFO 4308 DNA
NC_005785.6,Eremothecium gossypii ATCC 10895 chromosome IV
NC_050725.1,Zygotorulaspora mrakii chromosome 7
NC_016473.1,Thermothelomyces thermophilus ATCC 42464 chromosome 2
NC_006041.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome E complete sequence
NC_052374.1,Brettanomyces nanus chromosome 1
NC_054853.1,Aspergillus luchuensis IFO 4308 DNA
NC_012862.1,Candida dubliniensis CD36 chromosome 3
NC_016472.1,Thermothelomyces thermophilus ATCC 42464 chromosome 1
NC_054688.1,Brettanomyces bruxellensis chromosome 7
NC_042508.1,Pichia kudriavzevii chromosome 3
NC_054858.1,Aspergillus puulaauensis MK2 DNA
NC_042506.1,Pichia kudriavzevii chromosome 1
NC_050731.1,Torulaspora globosa chromosome 5
NC_016457.1,Thermothielavioides terrestris NRRL 8126 chromosome 1
NC_006038.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome B complete sequence
NC_054853.1,Aspergillus luchuensis IFO 4308 DNA
NC_001143.9,Saccharomyces cerevisiae S288C chromosome XI
NC_049562.1,Talaromyces rugulosus chromosome II
NC_054850.1,Aspergillus luchuensis IFO 4308 DNA
NC_016461.1,Thermothielavioides terrestris NRRL 8126 chromosome 5
NC_040194.1,Malassezia restricta chromosome II
NC_031674.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome B
NC_006039.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome C complete sequence
NC_031674.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome B
NC_036026.1,Kluyveromyces marxianus DMKU3-1042 DNA
NC_016474.1,Thermothelomyces thermophilus ATCC 42464 chromosome 3
NC_049562.1,Talaromyces rugulosus chromosome II
NC_037324.1,Botrytis cinerea B05.10 chromosome 15
NC_050726.1,Zygotorulaspora mrakii chromosome 8
NC_001134.8,Saccharomyces cerevisiae S288C chromosome II
NC_054860.1,Aspergillus puulaauensis MK2 DNA
NC_036026.1,Kluyveromyces marxianus DMKU3-1042 DNA
NC_037324.1,Botrytis cinerea B05.10 chromosome 15
NC_005788.4,Eremothecium gossypii ATCC 10895 chromosome VII
NC_050727.1,Torulaspora globosa chromosome 1
NC_016473.1,Thermothelomyces thermophilus ATCC 42464 chromosome 2
NC_054850.1,Aspergillus luchuensis IFO 4308 DNA
NC_016459.1,Thermothielavioides terrestris NRRL 8126 chromosome 3
NC_040197.1,Malassezia restricta chromosome V
NC_006039.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome C complete sequence
NC_050722.1,Zygotorulaspora mrakii chromosome 4
NC_037310.1,Botrytis cinerea B05.10 chromosome 1
NC_006038.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome B complete sequence
NC_054851.1,Aspergillus luchuensis IFO 4308 DNA
NC_016457.1,Thermothielavioides terrestris NRRL 8126 chromosome 1
NC_049564.1,Talaromyces rugulosus chromosome IV
NC_054687.1,Brettanomyces bruxellensis chromosome 6
NC_037311.1,Botrytis cinerea B05.10 chromosome 2
NC_054851.1,Aspergillus luchuensis IFO 4308 DNA
NC_016461.1,Thermothielavioides terrestris NRRL 8126 chromosome 5
NC_037319.1,Botrytis cinerea B05.10 chromosome 10
NC_005785.6,Eremothecium gossypii ATCC 10895 chromosome IV
NC_052374.1,Brettanomyces nanus chromosome 1
NC_050734.1,Torulaspora globosa chromosome 8
NC_050725.1,Zygotorulaspora mrakii chromosome 7
NC_050719.1,Zygotorulaspora mrakii chromosome 1
NC_012863.1,Candida dubliniensis CD36 chromosome 4
NC_042510.1,Pichia kudriavzevii chromosome 5
NC_005785.6,Eremothecium gossypii ATCC 10895 chromosome IV
NC_037311.1,Botrytis cinerea B05.10 chromosome 2
NC_006041.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome E complete sequence
NC_036026.1,Kluyveromyces marxianus DMKU3-1042 DNA
NC_042507.1,Pichia kudriavzevii chromosome 2
NC_050722.1,Zygotorulaspora mrakii chromosome 4
NC_050720.1,Zygotorulaspora mrakii chromosome 2
NC_037320.1,Botrytis cinerea B05.10 chromosome 11
NC_037312.1,Botrytis cinerea B05.10 chromosome 3
NC_049564.1,Talaromyces rugulosus chromosome IV
NC_036029.1,Kluyveromyces marxianus DMKU3-1042 DNA
NC_054849.1,Aspergillus luchuensis IFO 4308 DNA
NC_050726.1,Zygotorulaspora mrakii chromosome 8
NC_050724.1,Zygotorulaspora mrakii chromosome 6
NC_054861.1,Aspergillus puulaauensis MK2 DNA
NC_001143.9,Saccharomyces cerevisiae S288C chromosome XI
NC_040195.1,Malassezia restricta chromosome III
NC_040198.1,Malassezia restricta chromosome VI
NC_012863.1,Candida dubliniensis CD36 chromosome 4
